query,source,author,title,description,content,url,published_at
artificial intelligence,The New York Times,By Manohla Dargis,‘The Fall Guy’ Review: Ryan Gosling Goes Pow! Splat! Ouch!,"The actor charms as a swaggering stunt man, alongside an underused Emily Blunt, in the latest skull-rattling action movie from David Leitch.","The actor charms as a swaggering stunt man, alongside an underused Emily Blunt, in the latest skull-rattling action movie from David Leitch.",https://www.nytimes.com/2024/05/02/movies/fall-guy-ryan-gosling.html,2024-05-02T09:03:13Z
artificial intelligence,The New York Times,By David McCabe,Strongest U.S. Challenge to Big Tech’s Power Nears Climax in Google Trial,"The first tech monopoly trial of the modern internet era is concluding. The judge’s ruling is likely to set a precedent for other attempts to rein in the tech giants that hold sway over information, social interaction and commerce.","The first tech monopoly trial of the modern internet era is concluding. The judge’s ruling is likely to set a precedent for other attempts to rein in the tech giants that hold sway over information, social interaction and commerce.",https://www.nytimes.com/2024/05/02/technology/google-antitrust-trial-closing-arguments.html,2024-05-02T09:04:04Z
artificial intelligence,The New York Times,By Joe Drape and Melissa Hoppert,"As Kentucky Derby Nears, Last Year’s Deaths Cast Long Shadow",The breakdown of 12 horses in the days surrounding the celebrated race a year ago has led to existential questions about the sport and its future.,The breakdown of 12 horses in the days surrounding the celebrated race a year ago has led to existential questions about the sport and its future.,https://www.nytimes.com/2024/05/02/business/horse-racing-deaths-kentucky-derby.html,2024-05-02T09:04:43Z
artificial intelligence,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",What Will It Take for the Fed to Lower Rates?,Stubbornly high inflation has scrambled the central bank’s outlook. Wall Street is now shifting focus to Friday’s jobs report for clues on its next move.,Stubbornly high inflation has scrambled the central bank’s outlook. Wall Street is now shifting focus to Friday’s jobs report for clues on its next move.,https://www.nytimes.com/2024/05/02/business/dealbook/fed-powell-interest-rates.html,2024-05-02T11:57:07Z
artificial intelligence,The New York Times,By Ben Sisario,Universal Music Artists Will Return to TikTok,"The two companies reached a new licensing deal, ending a three-month stalemate that kept some of pop’s biggest stars off the platform.","The two companies reached a new licensing deal, ending a three-month stalemate that kept some of pop’s biggest stars off the platform.",https://www.nytimes.com/2024/05/02/arts/music/tiktok-universal-music-deal.html,2024-05-02T14:03:06Z
artificial intelligence,The New York Times,By Isobel Lewis,‘Doctor Who’ Episode 5 Recap: Bursting the Bubble,"The Doctor saves a rich wannabe vlogger from being eaten by a giant slug, but a final twist leaves him reeling.","The Doctor saves a rich wannabe vlogger from being eaten by a giant slug, but a final twist leaves him reeling.",https://www.nytimes.com/2024/05/31/arts/television/doctor-who-episode-5-recap.html,2024-06-01T00:00:08Z
artificial intelligence,The New York Times,By Alex Travelli,A Small Army Combating a Flood of Deepfakes in India’s Election,"Social media is awash with A.I.-altered audio, clipped video and manipulated images. Fact-checkers want to save the public from deception.","Social media is awash with A.I.-altered audio, clipped video and manipulated images. Fact-checkers want to save the public from deception.",https://www.nytimes.com/2024/06/01/world/asia/india-election-deepfakes.html,2024-06-01T04:01:09Z
artificial intelligence,The New York Times,By Nico Grant and Katie Robertson,Google’s A.I. Search Leaves Publishers Scrambling,"Since Google overhauled its search engine, publishers have tried to assess the danger to their brittle business models while calling for government intervention.","Since Google overhauled its search engine, publishers have tried to assess the danger to their brittle business models while calling for government intervention.",https://www.nytimes.com/2024/06/01/technology/google-ai-search-publishers.html,2024-06-01T09:02:28Z
artificial intelligence,The New York Times,By Nico Grant,Google Rolls Back A.I. Search Feature After Flubs and Flaws,Google appears to have turned off its new A.I. Overviews for a number of searches as it works to minimize errors.,Google appears to have turned off its new A.I. Overviews for a number of searches as it works to minimize errors.,https://www.nytimes.com/2024/06/01/technology/google-ai-overviews-rollback.html,2024-06-01T09:04:10Z
artificial intelligence,The New York Times,By Melissa Kirsch,It’s June Again,"Summer returns, and with it all the feelings and fantasies and fears we associate with the season.","Summer returns, and with it all the feelings and fantasies and fears we associate with the season.",https://www.nytimes.com/2024/06/01/briefing/its-june-again.html,2024-06-01T10:36:58Z
